Respondent_ID,open_ended_1,open_ended_2,open_ended_3,open_ended_4,open_ended_5,E_Scale_score,A_Scale_score,O_Scale_score,C_Scale_score,N_Scale_score,Dataset
10446116527,"I would change my vacation week, because I am a better employee than he or she. We can't both be off work at the same time because then the other people at work would suffer because of our selfishness. Also, the other employee/ or even my boss now kind of owes me...","I would reach out to my boss and ask him or her what I needed to get started on this project. I would begin this project ahead of time, since my boss is gonna add crap onto it anyways hopefully it will be earlier if I show him/her my results.",I would not go. I am a not a social person. I don't do well in any crowds. I get social anxiety.,"I would ask my manager why he/she gave me such feedback. But although I may not agree with it and not believe it's true, maybe I am in the wrong. I would ask my manager what I needed to do to correct the wrong. If everything is BS though, and I hate the job, I may just quit.","I would find this experience super enjoyable. I love learning different cultures and languages (I have a minor in Japanese). I would devote a lot of time studying up about Norway, and even ask my company to send me there if the opportunity arises.",2.25,3.75,3.1666666667,3.75,2.9166666667,Train
10440100535,I would talk to my colleague and see if they were willing to change the vacation date because I really need to have this week off. If the colleague was not willing to change it I would go talk to my boss. I would explain to my boss that I would still like to have the week off I requested but if it is not possible than I will take the week after. I would do this like this because I think it would make it easier and I would not want to start a workplace conflict over a vacation week,I would continue to work on the project that was due. If another task came up and I thought that I could complete it in a timely manner without affecting my primary task I would work on it. I would strive to complete my primary task as stated.,I would talk to my colleague and try to talk them into going with me. I would tell them this would be a great opportunity to network with other people. If my colleague still decided not to go I would go anyways. I would go because I feel like this is an opportunity to network and meet new people and I would not want to miss out of that opportunity.,I would feel upset about the negative feedback. I would approach my boss and ask him/her why I was given negative feedback and how I thought it was inaccurate. I would let my boss know that I don't want this to effect my work. I would ask if it was possible that he/she did not give the right feedback.,I would find this experience enjoyable. I feel like learning about another country and culture would be fun. I think knowing more about a country would widen my knowledge about things and would be better for me. I am always interested in learning new things and I just think this would be fun.,4.6666666667,4.4166666667,4.5833333333,5.0,1.3333333333,Train
10462850071,"I would feel upset because perhaps I already booked something for that week. If I had, I would explain that I can't move the dates around for my planned event. I would maybe try to speak with my boss to have them decide, perhaps if I have been at the company longer. If that didn't work, I would probably try to pick another week and pitch it to my boss before actually booking anything.","I would start working on the project now and get most of the work done so I don't have to worry about it if my boss gives me another last minute task. I would want to take my time and not rush my work on a project instead of feeling stressed out. If I ended up still working on it until it was due, and my boss gave me another task, I would explain I needed to focus on the main project.","I would feel guilty about thinking about not going because I want to impress my client. I would probably talk myself into still going, but getting something to eat first and then coming to the meeting. If it means I can make more money with them I want to be at the meeting no matter how tired I am.",I would feel really defensive about it. I would confront my manager and tell them my side of the story. Before I did that though I would try to be calm and think about what I am going to say instead of just blowing up my anger. It is definitely worth speaking up for if it involves possibly losing my annual bonus.,I would find it enjoyable because I would be relieved that I didn't have to travel there. I can do a lot of research online and watch videos to get a sense of what it is like to be from Norway. I feel like I could spend a lot of time with that and it would make the Norway client appreciate that we are trying to understand their culture.,2.25,4.75,4.0833333333,4.6666666667,2.1666666667,Train
10460008027,"I would suggest that whoever requested the time off first be given priority.  Unless for some reason the vacation can't be rescheduled, maybe because it's been paid for already and can't be refunded.  If that's the case, then I would understand and change my plans.","I would try to finish early because it's always a good idea to finish things as soon as possible.  You never know what might come up, and it may take longer than you anticipate.","I wouldn't want to go, but I'd have to weigh the importance of the client's wishes with my own.  If it is an important meeting, or something the client really wants me to attend, I guess I would go.","I would first wait until I'm calm.  Then I would compose a response to the feedback, trying my best to compile evidence supporting my opinions.  Then I would schedule a meeting with my manager to discuss the issues.","I would love to have the opportunity to learn about and experience a different culture, with or without the travel.  I think it would be a wonderful experience.",2.9166666667,4.0833333333,3.9166666667,4.9166666667,1.3333333333,Train
10459746373,I would talk to my colleague to see if he has reservations. If not I would try to have him change his vacation since you requested it off first. If he/she won't change their vacation I would change mine but not be happy about it.,I would remind my boss that I am working on this project. I would ask my supervisor if they have any other projects for me to work on well in advance of the due date. I would explain that I would like enough time to complete any projects well and would appreciate the time to do them correctly,I would go anyway. Networking is a good way to advance my career. It would look good to the client if I go. I can introduce myself to people.,"I would talk to my manager first and get some more details for why he gave me the feedback. I would then explain why I do not agree with it, If we can't come to a consensus I would then go to Human Resources to try to get this solved.",I would find this experience enjoyable as I am curious about other countries and cultures. I would do the best job possible so I can get similar assignments in other countries. Maybe I could travel to some of the countries on business.,3.75,4.75,3.6666666667,4.9166666667,1.5833333333,Train
10460002321,"It would depend on how serious my plans were. If I were going on vacation for example and I already had my tickets purchased for whatever I was going to, I wouldn't budge and say I need that week. Now if I just wanted time off then I would take a different week off that year.","I would speak with my boss and let him know that I have a heavy workload and ask that he doesn't give me any extra projects until I had finished. If he still had to give me something then I would ask if I could work overtime. If I can't do that, then I guess just work extra hard.","I most likely wouldn't go, but then again if I could network with people I don't see that as a bad thing. Depending on how nice the client is and the people there I might go and just not say anything about my colleague not wanting to come. If they aren't so nice then I would claim I'm sick or have other plans.","I would speak to my manager and explain to them why I feel the negative feedback isn't justified. I would try and have them look at all sides and see if I can convince them. If that doesn't work I may go above my boss, go to whoever is above them and explain the situation.","I personally would find this experience enjoyable. I love traveling and going to new places, and if I got paid for it that would be a bonus in my opinion. Now if the travel expenses weren't paid for, or I didn't get paid I may not go. It depends on the situation",3.1666666667,3.1666666667,3.75,3.9166666667,3.0833333333,Train
10459689609,I would inquire as to who requested the vacation first. It seems that it would be fair to give the vacation week to the person who asked first. I would agree to give up the week if my coworker requested it first.,I would handle this project by trying to stay ahead on my work. This would allow time to work on last minute tasks from my boss. I would also let my boss know about the project if I needed time away from his last minute tasks.,I would encourage my colleague to attend the meeting with me. If my colleague will not go I would still go. I think this meeting is important and is worth attending even if I do not know anyone there.,I feel very upset about this situation. I will ask my manager if I can respond to the feedback in writing or some way that will stay with my file. I would fight to have this issue resolved.,I would find this experience enjoyable. It would be challenging but it would not be boring. It is always fun to learn new things about other cultures.,4.0833333333,4.1666666667,3.8333333333,4.0,2.25,Train
10440109643,I would see what their reasoning is for the time off.  If it is more important than mine then I would switch.  If the person was just staying home then I would fight to keep my time off.,I would let my boss know that I have a full schedule.  Hopefully the boss will understand.  If not then I may have to work extra hours to get my project done on time.,I would go.  It would be great time to meet the clients and get to know them better.  I do not care if I go alone.  It would actually make it easier for me schedule if I am by myself.,"I would not be happy.  Whether is was justified or not, it may affect my bonus.  I would probably go to HR to revisit the situation.  If the situation was very dire I would risk my job to get the manager in trouble.",I would think this was a great opportunity.  Learning about Norway would be a great task.  The travel aspect wouldn't be that bad if needed.   I would volunteer.,3.75,4.0,4.1666666667,4.1666666667,1.5833333333,Train
10459770893,"If my scheduled vacation can be altered with not much inconvenience to the people involved, I can always just give in.  It will be easy if my family/friends are not involved. I always adjust as much as possible.",I always start projects as soon as possible.  I hate procrastinating.  A job needs to be done right away in case there are problems that may  come up.,I would go to the meeting with one of our largest clients. I can go alone if I have to.  It is not important if I don't know anyone there.,I would definitely speak up.  It is important to me to know why I received such negative feedback.  It is the only way I can make sure not to  make the same mistakes.,I will surely find this experience enjoyable.  I like challenges but I do not like to travel. This is perfect.,3.5833333333,4.0,3.1666666667,4.75,2.3333333333,Train
10446123182,"I would evaluate the option of rescheduling my vacation to ease the stress. Then I would also ask my coworker to do the same. We should discuss the nature of our vacations and how convenient or inconvenient it would be for either of us to reschedule. Ultimately, I would probably be the one to reschedule.",I understand the nature of my job. Making sure I keep my schedule clear and stay ahead of tasks will help me achieve my goals. I will ask my supervisor to please give me adequate notice for any additional workload.,"I would explain the benefit of the both of us attending. Then I would offer to drive us there. In addition, I would offer to take my coworker home after to help relieve pressure and to carpool for convenience.",I am not happy about this situation. Feeling inferior or wrongly criticized is helpless. I want a chance to be heard.,"I would find this enjoyable. The opportunity to learn about a different culture is exciting. With these skills, I should be able to impress our new client.",3.75,4.5833333333,4.0833333333,4.9166666667,1.25,Train
