,construct,method,model_name,r
0,E_Scale_score,bow,XGBRegressor,0.1972696817082854
0,A_Scale_score,bow,XGBRegressor,0.19450489805766316
0,O_Scale_score,bow,XGBRegressor,0.07357093363191883
0,C_Scale_score,bow,XGBRegressor,0.07394203070091217
0,N_Scale_score,bow,XGBRegressor,0.1261866175795433
0,E_Scale_score,bow,CatBoostRegressor,0.14708541959140825
0,A_Scale_score,bow,CatBoostRegressor,0.24431857038339982
0,O_Scale_score,bow,CatBoostRegressor,0.07072069855647416
0,C_Scale_score,bow,CatBoostRegressor,0.10023773365731867
0,N_Scale_score,bow,CatBoostRegressor,0.08190127158474013
0,E_Scale_score,bow,LGBMRegressor,0.12093746888969076
0,A_Scale_score,bow,LGBMRegressor,0.1678311449659743
0,O_Scale_score,bow,LGBMRegressor,0.0757327520785414
0,C_Scale_score,bow,LGBMRegressor,0.07989593529073438
0,N_Scale_score,bow,LGBMRegressor,0.11818590627824331
0,E_Scale_score,bow,ElasticNet,0.16450242431312642
0,A_Scale_score,bow,ElasticNet,0.16918153975260736
0,O_Scale_score,bow,ElasticNet,0.12152455555615438
0,C_Scale_score,bow,ElasticNet,0.06638875471195746
0,N_Scale_score,bow,ElasticNet,0.14753781111892936
0,E_Scale_score,bow,RandomForestRegressor,0.2233220424442728
0,A_Scale_score,bow,RandomForestRegressor,0.2634718550648757
0,O_Scale_score,bow,RandomForestRegressor,0.11774919957158349
0,C_Scale_score,bow,RandomForestRegressor,0.10429525725693486
0,N_Scale_score,bow,RandomForestRegressor,0.1817999029477404
