Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
0,0.0,E_Scale_score,bow,XGBRegressor,0.1972696817082854,"[0.09, 0.3]"
1,0.0,A_Scale_score,bow,XGBRegressor,0.1945048980576631,"[0.08, 0.3]"
2,0.0,O_Scale_score,bow,XGBRegressor,0.0735709336319188,"[-0.04, 0.19]"
3,0.0,C_Scale_score,bow,XGBRegressor,0.0739420307009121,"[-0.04, 0.19]"
4,0.0,N_Scale_score,bow,XGBRegressor,0.1261866175795433,"[0.01, 0.24]"
5,0.0,E_Scale_score,bow,CatBoostRegressor,0.1470854195914082,"[0.03, 0.26]"
6,0.0,A_Scale_score,bow,CatBoostRegressor,0.2443185703833998,"[0.13, 0.35]"
7,0.0,O_Scale_score,bow,CatBoostRegressor,0.0707206985564741,"[-0.04, 0.18]"
8,0.0,C_Scale_score,bow,CatBoostRegressor,0.1002377336573186,"[-0.01, 0.21]"
9,0.0,N_Scale_score,bow,CatBoostRegressor,0.0819012715847401,"[-0.03, 0.19]"
10,0.0,E_Scale_score,bow,LGBMRegressor,0.1209374688896907,"[0.01, 0.23]"
11,0.0,A_Scale_score,bow,LGBMRegressor,0.1678311449659743,"[0.06, 0.28]"
12,0.0,O_Scale_score,bow,LGBMRegressor,0.0757327520785414,"[-0.04, 0.19]"
13,0.0,C_Scale_score,bow,LGBMRegressor,0.0798959352907343,"[-0.03, 0.19]"
14,0.0,N_Scale_score,bow,LGBMRegressor,0.1181859062782433,"[0.01, 0.23]"
15,0.0,E_Scale_score,bow,ElasticNet,0.1645024243131264,"[0.05, 0.27]"
16,0.0,A_Scale_score,bow,ElasticNet,0.1691815397526073,"[0.06, 0.28]"
17,0.0,O_Scale_score,bow,ElasticNet,0.1215245555561543,"[0.01, 0.23]"
18,0.0,C_Scale_score,bow,ElasticNet,0.0663887547119574,"[-0.05, 0.18]"
19,0.0,N_Scale_score,bow,ElasticNet,0.1475378111189293,"[0.03, 0.26]"
20,0.0,E_Scale_score,bow,RandomForestRegressor,0.2233220424442728,"[0.11, 0.33]"
21,0.0,A_Scale_score,bow,RandomForestRegressor,0.2634718550648757,"[0.15, 0.37]"
22,0.0,O_Scale_score,bow,RandomForestRegressor,0.1177491995715834,"[0.0, 0.23]"
23,0.0,C_Scale_score,bow,RandomForestRegressor,0.1042952572569348,"[-0.01, 0.21]"
24,0.0,N_Scale_score,bow,RandomForestRegressor,0.1817999029477404,"[0.07, 0.29]"
