Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
25,0.0,E_Scale_score,empath,XGBRegressor,0.1137644907550631,"[0.0, 0.22]"
26,0.0,A_Scale_score,empath,XGBRegressor,0.1413262230040012,"[0.03, 0.25]"
27,0.0,O_Scale_score,empath,XGBRegressor,0.096989852545141,"[-0.02, 0.21]"
28,0.0,C_Scale_score,empath,XGBRegressor,0.0067750093537377,"[-0.11, 0.12]"
29,0.0,N_Scale_score,empath,XGBRegressor,0.0352103817608711,"[-0.08, 0.15]"
30,0.0,E_Scale_score,empath,CatBoostRegressor,0.1079161734469646,"[-0.01, 0.22]"
31,0.0,A_Scale_score,empath,CatBoostRegressor,0.1431303470725027,"[0.03, 0.25]"
32,0.0,O_Scale_score,empath,CatBoostRegressor,0.1805185002400251,"[0.07, 0.29]"
33,0.0,C_Scale_score,empath,CatBoostRegressor,0.012322783765223,"[-0.1, 0.13]"
34,0.0,N_Scale_score,empath,CatBoostRegressor,0.0637885513797776,"[-0.05, 0.18]"
35,0.0,E_Scale_score,empath,LGBMRegressor,0.0937239801404618,"[-0.02, 0.2]"
36,0.0,A_Scale_score,empath,LGBMRegressor,0.1649873368133753,"[0.05, 0.27]"
37,0.0,O_Scale_score,empath,LGBMRegressor,0.0632851002234184,"[-0.05, 0.18]"
38,0.0,C_Scale_score,empath,LGBMRegressor,-0.0221189570526763,"[-0.14, 0.09]"
39,0.0,N_Scale_score,empath,LGBMRegressor,-0.0040255160616808,"[-0.12, 0.11]"
40,0.0,E_Scale_score,empath,ElasticNet,0.1562725376024988,"[0.04, 0.26]"
41,0.0,A_Scale_score,empath,ElasticNet,0.2004743218342541,"[0.09, 0.31]"
42,0.0,O_Scale_score,empath,ElasticNet,0.1581006541029213,"[0.05, 0.27]"
43,0.0,C_Scale_score,empath,ElasticNet,0.0865870457821523,"[-0.03, 0.2]"
44,0.0,N_Scale_score,empath,ElasticNet,0.1118377902592283,"[-0.0, 0.22]"
45,0.0,E_Scale_score,empath,RandomForestRegressor,0.1292117870935934,"[0.02, 0.24]"
46,0.0,A_Scale_score,empath,RandomForestRegressor,0.1522107354855515,"[0.04, 0.26]"
47,0.0,O_Scale_score,empath,RandomForestRegressor,0.0950640849359791,"[-0.02, 0.21]"
48,0.0,C_Scale_score,empath,RandomForestRegressor,-0.0159491214646721,"[-0.13, 0.1]"
49,0.0,N_Scale_score,empath,RandomForestRegressor,0.0606777444547367,"[-0.05, 0.17]"
