Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
90,0.0,A_Scale_score,ensemble,XGBRegressor,0.2605268441916045,"[0.15, 0.36]"
91,0.0,C_Scale_score,ensemble,XGBRegressor,0.100557628802832,"[-0.01, 0.21]"
92,0.0,E_Scale_score,ensemble,XGBRegressor,0.2764455097305673,"[0.17, 0.38]"
93,0.0,N_Scale_score,ensemble,XGBRegressor,0.1483410539498413,"[0.04, 0.26]"
94,0.0,O_Scale_score,ensemble,XGBRegressor,0.1358309402913214,"[0.02, 0.25]"
95,0.0,A_Scale_score,ensemble,CatBoostRegressor,0.3216321235960371,"[0.22, 0.42]"
96,0.0,C_Scale_score,ensemble,CatBoostRegressor,0.1434585113839258,"[0.03, 0.25]"
97,0.0,E_Scale_score,ensemble,CatBoostRegressor,0.3420504535284836,"[0.24, 0.44]"
98,0.0,N_Scale_score,ensemble,CatBoostRegressor,0.2272464597899693,"[0.12, 0.33]"
99,0.0,O_Scale_score,ensemble,CatBoostRegressor,0.1853678984104436,"[0.07, 0.29]"
100,0.0,A_Scale_score,ensemble,LGBMRegressor,0.1805554074241186,"[0.07, 0.29]"
101,0.0,C_Scale_score,ensemble,LGBMRegressor,0.0949696038858297,"[-0.02, 0.21]"
102,0.0,E_Scale_score,ensemble,LGBMRegressor,0.2882375834547735,"[0.18, 0.39]"
103,0.0,N_Scale_score,ensemble,LGBMRegressor,0.1518642317842418,"[0.04, 0.26]"
104,0.0,O_Scale_score,ensemble,LGBMRegressor,0.1223846607604316,"[0.01, 0.23]"
105,0.0,A_Scale_score,ensemble,ElasticNet,0.3318765203384202,"[0.23, 0.43]"
106,0.0,C_Scale_score,ensemble,ElasticNet,0.1343946156968856,"[0.02, 0.24]"
107,0.0,E_Scale_score,ensemble,ElasticNet,0.3546798587716727,"[0.25, 0.45]"
108,0.0,N_Scale_score,ensemble,ElasticNet,0.2580933384890645,"[0.15, 0.36]"
109,0.0,O_Scale_score,ensemble,ElasticNet,0.2122332706779469,"[0.1, 0.32]"
110,0.0,A_Scale_score,ensemble,RandomForestRegressor,0.2932093216343962,"[0.19, 0.39]"
111,0.0,C_Scale_score,ensemble,RandomForestRegressor,0.1144925596665066,"[0.0, 0.22]"
112,0.0,E_Scale_score,ensemble,RandomForestRegressor,0.3287307082454747,"[0.22, 0.43]"
113,0.0,N_Scale_score,ensemble,RandomForestRegressor,0.1953907370803419,"[0.08, 0.3]"
114,0.0,O_Scale_score,ensemble,RandomForestRegressor,0.1506338773823733,"[0.04, 0.26]"
