,E_Scale_score_pred,A_Scale_score_pred,O_Scale_score_pred,C_Scale_score_pred,N_Scale_score_pred,y_E_val,y_A_val,y_O_val,y_C_val,y_N_val,E_Scale_score,A_Scale_score,O_Scale_score,C_Scale_score,N_Scale_score
E_Scale_score_pred,1.0,0.2774371082447229,0.5199822006737639,0.31265187207038303,-0.6766195313570991,0.4804670144199185,0.16706015636885035,0.24744856263162823,0.1417639842262237,-0.5309282369784954,0.1645024244270455,0.028434416321307592,0.0665920976662361,0.047231716538162306,-0.14485470407633255
A_Scale_score_pred,0.2774371082447229,1.0,0.5256187388366108,0.3680867686446185,-0.3591439747899566,0.13506860967708872,0.35094299625049746,0.17047712592673492,0.18464143319894452,-0.26091439865607147,0.011761499709464529,0.16918153985047232,0.05807009903639131,0.05385558085325312,-0.15268163692391956
O_Scale_score_pred,0.5199822006737639,0.5256187388366108,1.0,0.24291525490824212,-0.3697208072993967,0.23869607150471533,0.2406655073931279,0.3111906111708304,0.2694803897277846,-0.2918080120787682,0.14571569318880867,0.10979078040763458,0.1215245555698833,0.05842104829300028,-0.17358672659222749
C_Scale_score_pred,0.31265187207038303,0.3680867686446185,0.24291525490824212,1.0,-0.38878256200127875,0.1476356739807825,0.17391265686094687,0.1567793816917227,0.21098372964010773,-0.19586866522388652,0.02067806787712527,0.0881272063419076,0.019145689162129127,0.06638875473277307,-0.06914519532721869
N_Scale_score_pred,-0.6766195313570991,-0.3591439747899566,-0.3697208072993967,-0.38878256200127875,1.0,-0.3743446664243296,-0.2568763413362205,-0.19638037182232704,-0.05801830683620012,0.5076943766545446,-0.09942859178294014,-0.08426902057190008,-0.061886298457624146,-0.05653699068139183,0.14753781110336794
y_E_val,0.4804670144199185,0.13506860967708872,0.23869607150471533,0.1476356739807825,-0.3743446664243296,1.0,0.25098061029498514,0.33054287783877506,0.25618397278431015,-0.7600173409109524,0.34939842819558325,0.048078113247207045,0.15347027048199935,0.2062642619009951,-0.19896813195405133
y_A_val,0.16706015636885035,0.35094299625049746,0.2406655073931279,0.17391265686094687,-0.2568763413362205,0.25098061029498514,1.0,0.04413513710119266,0.00470015897628119,-0.5053222473948544,0.12198934075429652,0.26683157286837955,0.11329244862727789,0.11140717788514887,-0.20619043312838486
y_O_val,0.24744856263162823,0.17047712592673492,0.3111906111708304,0.1567793816917227,-0.19638037182232704,0.33054287783877506,0.04413513710119266,1.0,0.5444824130920592,-0.37752573873253176,0.16493807101441205,0.07454601749278629,0.19872647556482406,0.12154656799483349,-0.12682775312101685
y_C_val,0.1417639842262237,0.18464143319894452,0.2694803897277846,0.21098372964010773,-0.05801830683620012,0.25618397278431015,0.00470015897628119,0.5444824130920592,1.0,-0.2727929661749677,0.12408205630160928,-0.04358970192694798,0.05244523145111127,0.11859150952320725,-0.12322878900761296
y_N_val,-0.5309282369784954,-0.26091439865607147,-0.2918080120787682,-0.19586866522388652,0.5076943766545446,-0.7600173409109524,-0.5053222473948544,-0.37752573873253176,-0.2727929661749677,1.0,-0.3248587802609533,-0.14878541136870066,-0.16404107711453347,-0.18881244414393877,0.25316817845511935
E_Scale_score,0.1645024244270455,0.011761499709464529,0.14571569318880867,0.02067806787712527,-0.09942859178294014,0.34939842819558325,0.12198934075429652,0.16493807101441205,0.12408205630160928,-0.3248587802609533,1.0,0.3095567136170129,0.48459950181397315,0.5023923466895166,-0.5087998526693652
A_Scale_score,0.028434416321307592,0.16918153985047232,0.10979078040763458,0.0881272063419076,-0.08426902057190008,0.048078113247207045,0.26683157286837955,0.07454601749278629,-0.04358970192694798,-0.14878541136870066,0.3095567136170129,1.0,0.393572908372994,0.5234878524464122,-0.5704463999367941
O_Scale_score,0.0665920976662361,0.05807009903639131,0.1215245555698833,0.019145689162129127,-0.061886298457624146,0.15347027048199935,0.11329244862727789,0.19872647556482406,0.05244523145111127,-0.16404107711453347,0.48459950181397315,0.393572908372994,1.0,0.33426609506672067,-0.26804072140007684
C_Scale_score,0.047231716538162306,0.05385558085325312,0.05842104829300028,0.06638875473277307,-0.05653699068139183,0.2062642619009951,0.11140717788514887,0.12154656799483349,0.11859150952320725,-0.18881244414393877,0.5023923466895166,0.5234878524464122,0.33426609506672067,1.0,-0.5862407097514465
N_Scale_score,-0.14485470407633255,-0.15268163692391956,-0.17358672659222749,-0.06914519532721869,0.14753781110336794,-0.19896813195405133,-0.20619043312838486,-0.12682775312101685,-0.12322878900761296,0.25316817845511935,-0.5087998526693652,-0.5704463999367941,-0.26804072140007684,-0.5862407097514465,1.0
